ID;Nom startup;description fr;description en;web;creation;Dirigeants;Nbr employes;employeesref;Code postal;Région;Logo;A levé des fonds;Souhaite levé des fonds;Récompensé;enregistré le;Id video youtube;internationale;Pays;facebook;twitter;linkedin;type;filter_types_1;filter_types_2;filter_types_3;filter_clients_1;filter_clients_2;filter_clients_3;filter_clients_4;filter_clients_5;filter_clients_6;filter_services_1;filter_services_2;filter_services_3;filter_services_4;filter_services_5;filter_services_6;filter_services_7;filter_services_8;filter_services_9;filter_secteurs_1;filter_secteurs_2;filter_secteurs_3;filter_tech_1;filter_tech_2;filter_tech_3;filter_tech_4;filter_tech_5;filter_tech_6;filter_tech_7;filter_tech_8;filter_tech_9;filter_tech_10;filter_tech_11;filter_tech_12;filter_tech_13;users_1;users_2;users_3;users_4;users_5;users_6;users_7;users_8
109;Gribouilli;"Gribouilli crée des outils pour les parents et les professionnels de la garde d'enfant afin de démocratiser l'usage des pédagogies à domicile et faire de la co-éducation une réussite. Nos solutions se focalisent ainsi autour du développement de l'enfant via des activités personnalisées et un rythme adapté. 
Et si les ptits boutchous n'ont pas encore qui les garder, Gribouilli file un coup de main en présélectionnant les professionnels qui correspondent le mieux à la mission et à la vision:)";"Gribouilli is building tools for parents and nannies so that pedagogies can hopefully be applied at home and co education becomes more effective. Gribouilli is making home the best place to educate again. Needs for child's development are at the core of our solutions thanks to adapted activities.
What if you are looking for the perfect nanny? Gribouilli introduces you to the ones who match you (mission and vision for education) :)";http://gribouilli.fr;2016;Aminata Diouf, Diara Mar, Maïmonatou Mar;1 — 5;1;75000;IDF;uploads/logo/gribouilli_logo.jpg;0;1;0;2018-02-16 15:24:43;;0;France;https://www.facebook.com/GribouilliFR/;https://twitter.com/GribouilliFR;https://www.linkedin.com/company/gribouilli/;Association;Association;;;;;Particuliers;;Services publics ou associations;;;;;;Services aux familles et étudiants;;;Orientation et Insertion Professionnelle;;;;Formation tout au long de la vie;Contenus innovants;;;Adaptive learning;;Social media / outils de collaboration;;;;;;;;;;;;;Particuliers;Individus en emploi;Individus en reconversion ou sans emploi
110;Gutenberg Technology;Nous transformons la connaissance papier en connaissance numérique enrichie sur smartphone, tablette et web. Nous travaillons avec les plus grands éditeurs scolaires et universitaires mondiaux : Pearson, Houghton Mifflin-Harcourt, Wiley, Hachette, les éditions Belin et dans le corporate publishing avec Sanofi, Bayer, Indigo, SNCF.;transforming paper knowledge into digital knowledge on smartphone, tablet and web with empowerment;http://gutenberg-technology.com/;2010;Francois-Xavier Hussherr;21 — 40;4;93100;IDF;uploads/logo/gutenberg technology_logo.jpg;1;0;0;2018-02-16 15:24:43;;0;;;;https://www.linkedin.com/comm/profile/view?id=AAsAAAW7fa4BdyxuhcoGxg3-jxjRjcfkg3D0zbs&midToken=AQHUPDmJkyD2iA&trk=eml-network_updates_digest-header-2342-profile&trkEmail=eml-network_updates_digest-header-2342-profile-null-1l9bxq~ix6179s3~xd;Start-up/PME;;Start-up/PME;;Enseignants & établissements;Entreprises;;Organismes de formation;Services publics ou associations;;Outils de gestion pour enseigner et former;;;;;;;;;;;Formation tout au long de la vie;Contenus innovants;Serious game / learning apps;Solutions de distribution;Adaptive learning;Learning Management System / CMS;Social media / outils de collaboration;;;;;;;;;Élèves du CP à la terminale;Étudiants;Apprentis et étudiants en voie professionnelle;;;Individus en emploi;
111;Gymglish;Gymglish propose des cours en ligne d'anglais et de français  personnalisés. Dans chaque épisode, suivez les aventures de nos personnages, dans des situations droles et/ou professionnelles, le tout avec différents accents.;Gymglish provides online French and English lessons with daily, personalized emails. In each lesson, follow the adventures of our characters, featuring business content, humor, various accents and more.;https://www.gymglish.com/en/;2004;Benjamin Levy, Antoine Brenner;1-5;4;75000;IDF;uploads/logo/gymglish_logo.jpg;0;0;1;2018-02-16 15:24:43;;;;https://www.facebook.com/gymglish;https://twitter.com/GymGlish;;Start-up/PME;;Start-up/PME;;Enseignants & établissements;Entreprises;Particuliers;Organismes de formation;Services publics ou associations;;Outils de gestion pour enseigner et former;;;Formation académique;;;;;;;;Formation tout au long de la vie;Contenus innovants;Serious game / learning apps;;Adaptive learning;;;;;;;;;;;Élèves du CP à la terminale;Étudiants;;Établissement et professionnels de l'enseignement;Particuliers;Individus en emploi;Individus en reconversion ou sans emploi
112;H2 University;"Dans une société de plus en plus automatisée, rythmée par l'accélération technologique, les méthodes d’apprentissage conventionnelles ne fonctionnent plus. H2 University est l’université des compétences du 21ème siècle.
Nous propositions des formations courtes, en présentiel, sur les nouvelles technologies, les nouveaux outils et les nouvelles méthodes de travail.";"In an increasingly automated society, paced by technological acceleration, conventional learning methods no longer work. H2 University is the university of 21st century skills.
We offer short training courses on new technologies, new tools and new methods of work.";h2.university;2015;Daniel Jarjoura;1-5;1;75020;IDF;uploads/logo/H2university_logo.jpg;0;1;1;2018-02-16 15:24:44;;;;https://www.facebook.com/h2university/;http://twitter.com/h2_university;https://fr.linkedin.com/in/christelle-nouh-chaia-9b762817;Start-up/PME;;Start-up/PME;;;Entreprises;Particuliers;Organismes de formation;Services publics ou associations;;;Formation à des compétences numériques;;;;;;;;;Enseignement Supérieur;Formation tout au long de la vie;Contenus innovants;;;;;;;;Blended learning;;;;;;;;;;;Individus en emploi;Individus en reconversion ou sans emploi
113;haikara;Pour accompagner la transformation digitale de nos clients, haikara crée des dispositifs digitaux de formation en phase avec la culture, le contexte et les nouveaux mode de communication. Notre solution Fomavisa propose trois services distincts et complémentaires : l’évaluation des connaissances, l’évaluation des compétences et la diffusion de la formation dans un environnement entièrement personnalisable. Nous créons également des parcours digitaux, avec une approche très immersive.;"To help our clients accelerate their digital transformation, haikara with efficient digital training solutions according to their context, culture, taking into account new trends and technologies.
Our Fomavisa solution offers three distinct and complementary services: knowledge assessment, assessment of competencies and dissemination of training in a fully customizable environment. We also create digital content, with a very immersive approach.";http://www.haikara.fr;2005;Eric Slama, Philippe Raymond, Frédéric Beleme;1-5;3;75003;IDF;uploads/logo/haikara_logo.jpg;1;0;0;2018-02-16 15:24:44;;;;;;https://fr.linkedin.com/in/eric-slama-8ab6378;Start-up/PME;;Start-up/PME;;;Entreprises;;;;;;Formation à des compétences numériques;Formation à des compétences techniques;;;;;;;;;Formation tout au long de la vie;Contenus innovants;Serious game / learning apps;;Adaptive learning;Learning Management System / CMS;;;;;;;;;;;;;;;Individus en emploi;
114;Happy Blue Fish;Conception et développement d'applications Ludo-éducatives sur mobiles et tablettes.;Design and Production of Mobile Learning Games.;http://www.happybluefish.com;2009;Dominique Busso, Jonathan Dixon;1-5;1;35400;BR;uploads/logo/happy blue fish_logo.jpg;1;0;0;2018-02-16 15:24:44;;;;;;https://fr.linkedin.com/in/dominiquebusso;Start-up/PME;;Start-up/PME;;;Entreprises;Particuliers;;;;Outils de gestion pour enseigner et former;Formation à des compétences numériques;;;;;;;;Scolaire & parascolaire;;;;Serious game / learning apps;;Adaptive learning;;;;;;;;;;Élèves de maternelle;Élèves du CP à la terminale;;;;Particuliers;;
115;Hello World ! Lab;Je propose des ateliers de création numérique aux jeunes de 6 à 16 ans.  Dans une ambiance ludique, ils découvrent à quoi sert la programmation et commencent à programmer en réalisant un projet (création d'un robot, ou d'un jeu, d'un site internet…). Mes ateliers s'adressent aux établissements scolaires, centres de loisirs, lieux culturels, mairies. J'organise aussi des stages pendant les vacances scolaires. Ma vision : l'apprentissage du code au service du développement des talents de chacun!;My vision : learn to code to find and develop your own talent ! I organize creative coding classes for children between 6 and 16.  They are invited to understand where coding is used in their day to day and to experiment programming through running a group project : they create a robot or a game, or a website… My clients are schools, leisure centers, museums, and companies (BtoB), and I also organize vacation camps (BtoC).;helloworldlab.com;2016;Elisabeth Touzet-Planchon;1-5;1;59420;HDF;uploads/logo/helloworldlab_logo.jpg;1;0;1;2018-02-16 15:24:44;;;;https://www.facebook.com/helloworldlab;http://twitter.com/Elpl01;https://www.linkedin.com/in/elisabeth-touzet-planchon-7317135/;Start-up/PME;;Start-up/PME;;Enseignants & établissements;;Particuliers;;;;;Formation à des compétences numériques;;;;Activités extra-scolaires et développement personnel;;;;Scolaire & parascolaire;;;Contenus innovants;;;;;;;;Blended learning;;;;;Élèves de maternelle;Élèves du CP à la terminale;;;;Particuliers;;
117;HigherEdMe;HigherEdMe propose des solutions de mise en relation entre étudiants étrangers et établissements d'enseignement supérieur du monde entier.;HigherEdMe is the first study abroad marketplace connecting students and higher education institutions to study abroad;http://www.higheredme.com;2015;Arnaud Catinot, Pierre-Alexandre Piarulli;1-5;2;21600;BFC;uploads/logo/1528201639.png;1;1;1;2018-02-16 15:24:45;https://www.youtube.com/watch?v=CRh6Kfh1xjo;1;Afghanistan , Albanie , Algérie , Samoa Américaines , Andorre , Angola , Azerbaïdjan , Argentine , Australie , Autriche , Bahamas , Bahreïn , Bangladesh , Arménie , Belgique , Bermudes , Bhoutan , Bolivie , Bosnie-Herzégovine , Botswana , Brésil , Belize , Brunéi Darussalam , Bulgarie , Myanmar , Burundi , Bélarus , Cambodge , Cameroun , Canada , Cap-vert , République Centrafricaine , Sri Lanka , Tchad , Chili , Chine , Taïwan , Colombie , Comores , Mayotte , République du Congo , République Démocratique du Congo , Costa Rica , Croatie , Cuba , Chypre , République Tchèque , Bénin , Danemark , Dominique , République Dominicaine , Équateur , El Salvador , Guinée Équatoriale , Éthiopie , Érythrée , Estonie , Îles Féroé , Fidji , Finlande , France , Guyane Française , Polynésie Française , Djibouti , Gabon , Géorgie , Gambie , Allemagne , Ghana , Gibraltar , Grèce , Grenade , Guadeloupe , Guatemala , Guinée , Guyana , Haïti , Honduras , Hong-Kong , Hongrie , Islande , Inde , Indonésie , République Islamique d'Iran , Iraq , Irlande , Israël , Italie , Côte d'Ivoire , Jamaïque , Japon , Kazakhstan , Jordanie , Kenya , République Populaire Démocratique de Corée , République de Corée , Koweït , Kirghizistan , République Démocratique Populaire Lao , Liban , Lesotho , Libéria , Liechtenstein , Lituanie , Luxembourg , Macao , Madagascar , Malawi , Malaisie , Maldives , Mali , Malte , Martinique , Mauritanie , Maurice , Mexique , Monaco , Mongolie , République de Moldova , Maroc , Mozambique , Oman , Namibie , Népal , Pays-Bas , Antilles Néerlandaises , Aruba , Nouvelle-Calédonie , Vanuatu , Nouvelle-Zélande , Nicaragua , Niger , Nigéria , Norvège , États Fédérés de Micronésie , Palaos , Pakistan , Papouasie-Nouvelle-Guinée , Paraguay , Pérou , Philippines , Pologne , Portugal , Guinée-Bissau , Porto Rico , Qatar , Réunion , Roumanie , Fédération de Russie , Rwanda , Sainte-Hélène , Saint-Kitts-et-Nevis , Sainte-Lucie , Saint-Pierre-et-Miquelon , Saint-Vincent-et-les Grenadines , Saint-Marin , Sao Tomé-et-Principe , Arabie Saoudite , Sénégal , Seychelles , Sierra Leone , Singapour , Slovaquie , Viet Nam , Slovénie , Somalie , Afrique du Sud , Zimbabwe , Espagne , Soudan , Suriname , Swaziland , Suède , Suisse , République Arabe Syrienne , Tadjikistan , Thaïlande , Togo , Trinité-et-Tobago , Émirats Arabes Unis , Tunisie , Turquie , Turkménistan , Ouganda , Ukraine , L'ex-République Yougoslave de Macédoine , Égypte , Royaume-Uni , République-Unie de Tanzanie , États-Unis , Îles Vierges des États-Unis , Burkina Faso , Uruguay , Ouzbékistan , Venezuela , Wallis et Futuna , Samoa , Yémen , Serbie-et-Monténégro , Zambie;https://www.facebook.com/HigherEdMe/;https://twitter.com/Higheredme;https://www.linkedin.com/company/higheredme/;Start-up/PME;;Start-up/PME;;Enseignants & établissements;;Particuliers;;;;;;;;Services aux familles et étudiants;;;Orientation et Insertion Professionnelle;;;Enseignement Supérieur;;;;;;;;Plateforme d'agrégation et distribution de services;Technologies de back / middle office, connections;;;;;Autres;;;Étudiants;;Établissement et professionnels de l'enseignement;;;
118;hihilulu SARL;Hihilulu est la première plate-forme de contenu éducatif pour les enfants à apprendre le chinois comme une langue maternelle. Un mélange de YouTube et Duolingo, il est personnalisé et accessible à tout moment pour tous les enfants. Hihilulu est le premier concept de streaming appliqué à l'apprentissage chinois dans la petite enfance. Soutenu par son propre Système d'apprentissage Progressif, il est capable d'identifier précisément le niveau des enfants et de pousser contenus.;hihilulu is the first edutainment content platform for children to learn Chinese like a mother tongue. A blend of YouTube and Duolingo-alike, but absolutely personalised Chinese language tool accessible anytime for any children in the world. hihilulu is the first streaming concept applied to chinese learning in early childhood. Supported by its own Progressive Learning System, it is truly able to identify children's level and precisely push contents, and personalizes Learning experience.;http://hihilulu.com;2015;Jin Huang, Frank Chen, Tim Huang;1-5;2;75008;IDF;uploads/logo/hihilulu_logo.jpg;1;0;1;2018-02-16 15:24:45;;;;;;https://www.linkedin.com/in/jjenniferhuang;Start-up/PME;;Start-up/PME;;Enseignants & établissements;;Particuliers;;Services publics ou associations;;;;;Formation académique;Services aux familles et étudiants;;;;;Scolaire & parascolaire;;;Contenus innovants;Serious game / learning apps;Solutions de distribution;Adaptive learning;;Social media / outils de collaboration;Plateforme d'agrégation et distribution de services;;;;;;;Élèves de maternelle;Élèves du CP à la terminale;;;Établissement et professionnels de l'enseignement;Particuliers;;
119;Hub School 21;Ecole innovante, créatrice de liens et de valeurs, proposant une nouvelle façon d'apprendre pour former des enfants et des adultes épanouis capables de relever les défis du monde, du Primaire au Lycée;A creative school which offers a new way of teaching and learning in order to open the children's mind and enlighten their curiosity;www.hubschool21.fr;2017;Fanny Peissik, Florence Castagnos et Alexis Jacquand;1-5;1;75011;IDF;uploads/logo/1549355850.jpeg;1;1;0;2018-02-16 15:24:45;;0;France;http://www.facebook.com/hubschool21;http://twitter.com/Hubschool21;https://www.linkedin.com/company/11050443/;Association;Association;;;Enseignants & établissements;;Particuliers;;;;;;;Formation académique;;;;;;Scolaire & parascolaire;;;Contenus innovants;;;;;;;;;;;;;;Élèves du CP à la terminale;;;;;;
120;HUH? School;"HUH? School développe une solution d'apprentissage par mobile.

En 3 points :
- Nous sommes une solution interactive SaaS de formation professionnelle personnalisée. 
- ""Data-driven"", nos formations par application mobile créées un très fort engagement des apprenants.
- Une application mobile simple à déployer, utiliser et adapter à chaque apprenant et besoins d'entreprise.";"HUH? School develop a mobile learning solution.

In three-points : 
1. We are a SaaS interactive solution offering personalised corporate training. 
2. Data-driven training mobile application for a high engagement of learners. 
3. A mobile app’ easy to deploy, easy to use and adapting to users and companies need.";http://www.huh.school;2015;Nicolas Galand, Alexandre Glas, Georges Gurkovsky;6-10;1;94000;IDF;uploads/logo/huh_school_logo.jpg;1;1;1;2018-02-16 15:24:46;https://www.youtube.com/watch?v=CG5bdaBNCTY&t=;1;France , Allemagne;https://www.facebook.com/Huh-School-571281273020801/;https://twitter.com/HuhSchool;https://www.linkedin.com/company/10499241/;Start-up/PME;;Start-up/PME;;Enseignants & établissements;Entreprises;;;;;;Formation à des compétences numériques;;Formation académique;;;;;;;Enseignement Supérieur;Formation tout au long de la vie;Contenus innovants;;;Adaptive learning;;;;;;;;;;;;;;;;Individus en emploi;
121;Human Coders;"Nous avons créé Human Coders en 2012 afin de faire du partage de connaissances entre développeurs, notre métier. 
Au fil des années, une grande communauté de passionnés s’est construite autour de nous et de nos valeurs. Depuis le début, nous sommes à votre service.

Tous les jours, vous nous challengez, vous nous conseillez, vous nous proposez des idées... 
C’est grâce à vous que Human Coders est devenu le centre de formation préféré des développeurs !";Notre public est 100% francophone;https://www.humancoders.com/;2012;Matthieu Segret, Camille Roux;1-5;1;75016;IDF;uploads/logo/human coders_logo.jpg;0;0;0;2018-02-16 15:24:46;;;;;;https://fr.linkedin.com/in/camilleroux;Start-up/PME;;Start-up/PME;;;Entreprises;;Organismes de formation;Services publics ou associations;;;;Formation à des compétences techniques;;;;;;;;;Formation tout au long de la vie;;;;;;;;;;Supports / équipements;;;;;;;;;;Individus en emploi;
122;humanroads;Le GPS de l'orientation scolaire et de l'évolution professionnelle basé sur des millions d'itinéraires réels;Mapping educational and professional backgrounds;humanroads.com;2015;Benoît Bonte, François-Xavier Beillon;1-5;2;84000;PACA;uploads/logo/humanroads_logo.jpg;1;0;1;2018-02-16 15:24:46;;;;;;;Start-up/PME;;Start-up/PME;;Enseignants & établissements;Entreprises;;Organismes de formation;Services publics ou associations;;;;;;;;;Orientation et Insertion Professionnelle;Autres;Scolaire & parascolaire;Enseignement Supérieur;;;;;;;Social media / outils de collaboration;;Technologies de back / middle office, connections;;;;;Autres;;;Étudiants;Apprentis et étudiants en voie professionnelle;Établissement et professionnels de l'enseignement;Particuliers;Individus en emploi;Individus en reconversion ou sans emploi
123;Hyperbolyk;Hyperbolyk est une marketplace dédiée à la formation professionnelle. Notre plateforme connecte les organismes de formation qui mettent en ventes des formations inter-entreprises et des clients BtoB. Nous développons également un service de courtage gratuit pour les entreprises.;Hyperbolyk is a marketplace dedicated to the vocational training. Our platform connects the training institutions which put on sale inter-companies trainings and customers BtoB. We also develop a service of free brokerage for companies.;http://www.hyperbolyk.com;2015;Yann Bustos;1-5;1;69004;ARA;uploads/logo/hyperbolyk_logo.jpg;1;0;1;2018-02-16 15:24:47;;;;;;https://www.linkedin.com/today/post/author/posts#published?trk=mp-reader-h;Start-up/PME;;Start-up/PME;;;Entreprises;;Organismes de formation;;;;Formation à des compétences numériques;Formation à des compétences techniques;;;;;;;;;Formation tout au long de la vie;;;;;;;Plateforme d'agrégation et distribution de services;;;;;;;;;;;;;Individus en emploi;Individus en reconversion ou sans emploi
124;Ignition Factory;Innovation pédagogique encapsulée dans tous les supports technologiques ( elearning, serious games , MOOCs, realité augmentée, realité virtuelle, etc);Innovative learning supported by all types of technologies and devices ( elearning, serious, games, MOOcs augmented/ virtual reality..);http://ignition-factory.com;2012;Mireille Prunier;1-5;3;75008;IDF;uploads/logo/ignition factory_logo.jpg;1;0;1;2018-02-16 15:24:47;;;;;;;Start-up/PME;;Start-up/PME;;;Entreprises;;;;;Outils de gestion pour enseigner et former;;Formation à des compétences techniques;;;;Services pour publics à besoins éducatifs particuliers ;;;;Enseignement Supérieur;Formation tout au long de la vie;Contenus innovants;Serious game / learning apps;Solutions de distribution;;Learning Management System / CMS;Social media / outils de collaboration;;Technologies de back / middle office, connections;Blended learning;Supports / équipements;Réalite virtuelle / augmentée;;;;;;;Établissement et professionnels de l'enseignement;;Individus en emploi;
125;iLumens;"iLumens est un département de l’Université Sorbonne Paris Cité. Nous sommes spécialisés dans la pédagogie innovante en santé par les technologies numériques et la simulation afin de soutenir le développement d’une culture de sécurité en santé indispensable à l’amélioration de la qualité des soins. 

Nous entrainons les professionnels de santé grâce à des mannequins et des acteurs patients, développons des serious games en santé et entretenons une cellule dynamique de recherche expérimentale.";"iLumens is a university department of Sorbonne Paris Cité. We are specialized in innovative healthcare professionals training with digital technologies and simulation. Our goal is to support a safety culture in healthcare, fundamental to enhance the quality of care.

We train all healthcare professionals thanks to manikins and patient actors, develop health oriented serious games, and nurture a dynamic R&D activity.";ilumens.org;2013;Pr. Antoine Tesnière,Valérie Le Mouel,Dr. Cécile Monteil;1-5;3;75000;IDF;uploads/logo/ilumens_logo.jpg;0;0;0;2018-02-16 15:24:47;;;;https://www.facebook.com/iLumens-209802252419957/;https://twitter.com/iLumens;https://www.linkedin.com/company-beta/1090644/;Start-up/PME;;Start-up/PME;;Enseignants & établissements;;Particuliers;Organismes de formation;;;;;Formation à des compétences techniques;Formation académique;;;;;;;Enseignement Supérieur;Formation tout au long de la vie;;Serious game / learning apps;Solutions de distribution;;;;;;;Supports / équipements;Réalite virtuelle / augmentée;;;;;Étudiants;;;;Individus en emploi;
126;IMPACT CAMPUS;"Impact Campus propose aux établissements d’enseignement supérieur des formations en blended learning, construites autour de pédagogies actives (pédagogie renversée, pédagogie par projet) sur les grands enjeux du XXIème siècle (nouvelles économies, tech for good, innovation sociale, transition écologique, etc.). 
Nous innovons sur le fond, comme sur la forme, pour apprendre aux étudiants à s'engager et à devenir des décideurs conscients. 
Nous utilisons le digital et les nouvelles technologies (digital learning, gamification, réalité virtuelle, évaluation par les pairs, etc.) au service de l'expérience pédagogique, pour rendre les étudiants acteurs de leurs apprentissages.";"Impact Campus offers tools and training programs on social and environmental causes to Higher Education. Our blended learning and active pedagogies are key to train students to get involved.
Impact Campus ambition is to shape a whole generation of students as future leaders conscious of their impact. The desired impact regards their ability to develop a critical analysis on the challenges sustainable development, and their changemakers behaviors.";impact-campus.com;2017;Aude Serrano;1-5;1;75009;IDF;uploads/logo/impactcampus_logo.jpg;1;0;1;2018-02-16 15:24:47;4_p4TQBmh44;0;;https://www.facebook.com/ImpactCampus2017;https://twitter.com/Impact_Campus;https://www.linkedin.com/in/aude-serrano-0771aa5a/;Start-up/PME;;Start-up/PME;;Enseignants & établissements;;;;;;;;Formation à des compétences techniques;Formation académique;;;;;;;Enseignement Supérieur;;Contenus innovants;;;;;;;;Blended learning;;;;;;;Étudiants;Apprentis et étudiants en voie professionnelle;;;;
127;Impala;Nous utilisons la data science et la psychologie pour aider les jeunes à trouver leur voie et à s'orienter;We use data science & psychology to help students build their own carreer path;http://impala.in;2016;Hector Balas, Antoine Guo;1-5;2;75002;IDF;uploads/logo/impala_logo.jpg;1;0;1;2018-02-16 15:24:48;;;;;;linkedin.com/company/10779330;Start-up/PME;;Start-up/PME;;Enseignants & établissements;Entreprises;;;Services publics ou associations;;;;;;;Activités extra-scolaires et développement personnel;;Orientation et Insertion Professionnelle;Autres;Scolaire & parascolaire;Enseignement Supérieur;;;;;Adaptive learning;;;;;;;;;;;Élèves du CP à la terminale;Étudiants;Apprentis et étudiants en voie professionnelle;;;;
128;imusic-school;"imusic-school est la première école de musique en ligne.
Guitare, piano, batterie, chant…Nos cours de musique sont accessibles en ligne, 24H/24 et en illimité. 
Plus de 11 instruments, plus de 60 artistes et pédagogues, des contenus pour enfants, des exercices interactifs, tous les supports nécessaires :
imusic-school permet à toute la famille d' apprendre à jouer de la musique, de pratiquer la musique, et de progresser dans de nombreux styles, chacun à son rythme, dès 12,50 euros par mois.";"imusic-school is the leader of online music education in France.
Guitar, piano, drums, singing...Our music lessons are available anytime anywhere with unlimited access.
More than 11 instruments, more than 60 artists, programs for the kids, interactive exercises, all material needed :
imusic-school is a way for everyone in family to learn music, to play music, to progress in a large scale of styles, everyone at his own pace, from 12,50 euros per month.";https://imusic-school.com;2007;François Kreutz, Roland Pepe;1-5;2;20200;CO;uploads/logo/imusic-school_logo.jpg;1;0;1;2018-02-16 15:24:48;;;;;;https://fr.linkedin.com/in/francois-kreutz-19322557;Start-up/PME;;Start-up/PME;;;;Particuliers;;;;;;;;Services aux familles et étudiants;Activités extra-scolaires et développement personnel;;;;;;Formation tout au long de la vie;Contenus innovants;Serious game / learning apps;Solutions de distribution;;;;;;;;;;;;;;;Établissement et professionnels de l'enseignement;Particuliers;;
129;innotech;Digital Learning services for the Citizen, Ubiquitous and personalized.;Building the right Learning services for the Citizen around mixed environments and personalized.;http://www.flexilearning.fr;2017;Raphael Attias;1-5;1;75016;IDF;uploads/logo/.jpg;1;0;1;2018-02-16 15:24:48;;;;;;;Association;Association;;;Enseignants & établissements;Entreprises;;Organismes de formation;Services publics ou associations;;Outils de gestion pour enseigner et former;Formation à des compétences numériques;Formation à des compétences techniques;;;;Services pour publics à besoins éducatifs particuliers ;;;;;Formation tout au long de la vie;Contenus innovants;Serious game / learning apps;Solutions de distribution;Adaptive learning;Learning Management System / CMS;Social media / outils de collaboration;Plateforme d'agrégation et distribution de services;;;;Réalite virtuelle / augmentée;;;;;Étudiants;Apprentis et étudiants en voie professionnelle;;;Individus en emploi;Individus en reconversion ou sans emploi
130;Innovative Training Academy SAS;"ITANOVA développe des logiciels et des projets d'édition de contenus e-learning pour les entreprises et le secteur éducatif. 
Son logiciel d’auteur EasyProf® pour la création de contenus multimédia sur internet/Intranet, représente l’un des produits du marché combinant le mieux facilité et puissance : en quelques clics on peut créer de puissants contenus responsive, ainsi toute personne sans connaissances informatiques peut facilement créer des cours interactifs.";"ITANOVA develops software and e-learning  projects both for companies and the education sector.
Its authoring software EasyProf®, aimed at  multimedia content creation on the Internet / Intranet, represents one of the products  combining the best ease of use and power: in a few clicks one can create powerful responsive content , so anyone without any computer knowledge can easily create engaging e-learning courses.";http://www.easyprof.com;2014;Marie-Christine Jené, Marcos Garcia;6 — 10;2;75003;IDF;uploads/logo/innovative training academy sas_logo.jpg;1;0;0;2018-02-16 15:24:48;;0;;;;https://fr.linkedin.com/in/mariechristinejene;Start-up/PME;;Start-up/PME;;Enseignants & établissements;Entreprises;Particuliers;;Services publics ou associations;;Outils de gestion pour enseigner et former;Formation à des compétences numériques;Formation à des compétences techniques;Formation académique;;;;;;;;Formation tout au long de la vie;Contenus innovants;Serious game / learning apps;Solutions de distribution;;;;;;;;;;Autres;Élèves de maternelle;Élèves du CP à la terminale;Étudiants;Apprentis et étudiants en voie professionnelle;Établissement et professionnels de l'enseignement;;;
131;Institut etribArt;École d'enseignement en ligne dans le domaine de l'infographie 3D;CG Online School;e-tribart.fr/;2009;Laurent Bertran de Balanda;1-5;2;34000;OCC;uploads/logo/institutetribart_logo.jpg;0;0;1;2018-02-16 15:24:49;;;;https://www.linkedin.com/company-beta/3227677/;https://twitter.com/etribart;https://www.linkedin.com/company-beta/3227677/;Start-up/PME;;Start-up/PME;;;;;Organismes de formation;;;;Formation à des compétences numériques;Formation à des compétences techniques;;;;;;;;Enseignement Supérieur;Formation tout au long de la vie;Contenus innovants;;;Adaptive learning;;;;;;;;;;;;Étudiants;Apprentis et étudiants en voie professionnelle;Établissement et professionnels de l'enseignement;Particuliers;;
132;InTeach (par La Factoria);InTeach est une application de formation sur mobile qui permet à vos utilisateurs d'apprendre au quotidien via des mini-leçons, des quiz et jeux stimulants. InTeach est basée sur le micro-learning et la gamification. C’est un peu un mix de Duolingo, Peak et Primer pour former des salariés, des étudiants, des médecins et même pour faire de la sensibilisation. L'app est diffusée en marque blanche et un outil auteur permet de gérer le contenu et de suivre les utilisateurs très simplement.;InTeach is a mobile-learning app allowing users to learn everyday and everywhere via micro-lessons, quiz and stimulating games. InTeach is based on micro-learning and gamification. It's kind of a mix of Duolingo, Peak and Primer. We teach to employees, students, clients and even doctors. This is a white-labeled app and our back-office allows trainers and administrators to manage content and track users in a very simple and intuitive way.;http://inteach.io;2016;Pascal Merme, Jérôme Del Olmo, Quentin Valmori;1-5;1;69001;ARA;uploads/logo/inteach_logo.jpg;1;0;0;2018-02-16 15:24:49;;;;;;https://fr.linkedin.com/in/pascalmerme;Start-up/PME;;Start-up/PME;;;Entreprises;;Organismes de formation;;;Outils de gestion pour enseigner et former;;Formation à des compétences techniques;;;;;;;;Enseignement Supérieur;Formation tout au long de la vie;Contenus innovants;Serious game / learning apps;Solutions de distribution;;Learning Management System / CMS;;;;Blended learning;;;;;;;Étudiants;;;;Individus en emploi;
133;Interactive 4D;Interactive 4D conçoit et développe des jeux vidéo à but pédagogique (serious games) et des outils e-learning interactifs et ludiques.;Interactive 4D designs and develops digital games with an educational aim (serious games) as well as gamified and interactive e-learning tools.;http://www.interactive4d.com;2003;Alexis Lacapelle;6 — 10;2;6300;PACA;uploads/logo/interactive4D_logo.jpg;1;0;1;2018-02-16 15:24:49;;0;;;;https://www.linkedin.com/in/alexislacapelle;Start-up/PME;;Start-up/PME;;;Entreprises;;Organismes de formation;;;;;Formation à des compétences techniques;;;;;;;;;Formation tout au long de la vie;;Serious game / learning apps;;;Learning Management System / CMS;;;;;;Réalite virtuelle / augmentée;;;;Élèves du CP à la terminale;;Apprentis et étudiants en voie professionnelle;;;Individus en emploi;
